OlcumTarihi,BolgeId,OlcumDegeri,BolgeAdi,GazId,GazAdi
2000-01-01,2,27,BORNOVA,2,SO2
2000-01-01,6,,CIGLI,2,SO2
2000-01-01,7,,BAYRAKLI,1,PM10
2000-01-01,4,47,KARSIYAKA,2,SO2
2000-01-01,1,,ALSANCAK,1,PM10
2000-01-01,6,,CIGLI,1,PM10
2000-01-01,4,,KARSIYAKA,1,PM10
2000-01-01,3,16,GUZELYALI,2,SO2
2000-01-01,1,125,ALSANCAK,2,SO2
2000-01-01,5,,SIRINYER,1,PM10
2000-01-01,5,,SIRINYER,2,SO2
2000-01-01,3,,GUZELYALI,1,PM10
2000-01-01,7,,BAYRAKLI,2,SO2
2000-01-01,2,,BORNOVA,1,PM10
2000-01-02,2,34,BORNOVA,2,SO2
2000-01-02,3,49,GUZELYALI,2,SO2
2000-01-02,1,154,ALSANCAK,2,SO2
2000-01-03,2,38,BORNOVA,2,SO2
2000-01-03,4,45,KARSIYAKA,2,SO2
2000-01-03,3,141,GUZELYALI,2,SO2
2000-01-03,1,,ALSANCAK,2,SO2
2000-01-04,2,39,BORNOVA,2,SO2
2000-01-04,4,21,KARSIYAKA,1,PM10
2000-01-04,3,134,GUZELYALI,2,SO2
2000-01-05,2,45,BORNOVA,2,SO2
2000-01-05,4,74,KARSIYAKA,2,SO2
2000-01-05,1,49,ALSANCAK,1,PM10
2000-01-05,3,155,GUZELYALI,2,SO2
2000-01-05,1,158,ALSANCAK,2,SO2
2000-01-06,2,64,BORNOVA,2,SO2
2000-01-06,4,86,KARSIYAKA,2,SO2
2000-01-06,4,27,KARSIYAKA,1,PM10
2000-01-06,3,258,GUZELYALI,2,SO2
2000-01-06,1,216,ALSANCAK,2,SO2
2000-01-06,3,45,GUZELYALI,1,PM10
2000-01-06,2,25,BORNOVA,1,PM10
2000-01-07,2,59,BORNOVA,2,SO2
2000-01-07,4,,KARSIYAKA,2,SO2
2000-01-07,1,48,ALSANCAK,1,PM10
2000-01-07,3,121,GUZELYALI,2,SO2
2000-01-07,1,196,ALSANCAK,2,SO2
2000-01-07,3,32,GUZELYALI,1,PM10
2000-01-07,2,22,BORNOVA,1,PM10
2000-01-08,2,33,BORNOVA,2,SO2
2000-01-08,1,26,ALSANCAK,1,PM10
2000-01-08,3,35,GUZELYALI,2,SO2
2000-01-08,1,131,ALSANCAK,2,SO2
2000-01-08,3,15,GUZELYALI,1,PM10
2000-01-08,2,11,BORNOVA,1,PM10
2000-01-09,2,,BORNOVA,2,SO2
2000-01-09,4,69,KARSIYAKA,2,SO2
2000-01-09,1,28,ALSANCAK,1,PM10
2000-01-09,4,23,KARSIYAKA,1,PM10
2000-01-09,3,38,GUZELYALI,2,SO2
2000-01-09,1,108,ALSANCAK,2,SO2
2000-01-09,3,25,GUZELYALI,1,PM10
2000-01-10,4,78,KARSIYAKA,2,SO2
2000-01-10,1,38,ALSANCAK,1,PM10
2000-01-10,4,32,KARSIYAKA,1,PM10
2000-01-10,3,50,GUZELYALI,2,SO2
2000-01-10,1,112,ALSANCAK,2,SO2
2000-01-10,3,42,GUZELYALI,1,PM10
2000-01-11,2,55,BORNOVA,2,SO2
2000-01-11,4,84,KARSIYAKA,2,SO2
2000-01-11,1,57,ALSANCAK,1,PM10
2000-01-11,4,33,KARSIYAKA,1,PM10
2000-01-11,3,165,GUZELYALI,2,SO2
2000-01-11,1,121,ALSANCAK,2,SO2
2000-01-11,3,43,GUZELYALI,1,PM10
2000-01-11,2,17,BORNOVA,1,PM10
2000-01-12,2,49,BORNOVA,2,SO2
2000-01-12,4,55,KARSIYAKA,2,SO2
2000-01-12,4,19,KARSIYAKA,1,PM10
2000-01-12,3,151,GUZELYALI,2,SO2
2000-01-12,3,39,GUZELYALI,1,PM10
2000-01-12,2,21,BORNOVA,1,PM10
2000-01-13,2,48,BORNOVA,2,SO2
2000-01-13,4,64,KARSIYAKA,2,SO2
2000-01-13,1,24,ALSANCAK,1,PM10
2000-01-13,4,20,KARSIYAKA,1,PM10
2000-01-13,3,171,GUZELYALI,2,SO2
2000-01-13,1,178,ALSANCAK,2,SO2
2000-01-13,2,23,BORNOVA,1,PM10
2000-01-14,4,61,KARSIYAKA,2,SO2
2000-01-14,1,59,ALSANCAK,1,PM10
2000-01-14,3,172,GUZELYALI,2,SO2
2000-01-14,1,210,ALSANCAK,2,SO2
2000-01-14,3,53,GUZELYALI,1,PM10
2000-01-14,2,24,BORNOVA,1,PM10
2000-01-15,4,136,KARSIYAKA,2,SO2
2000-01-15,1,69,ALSANCAK,1,PM10
2000-01-15,4,60,KARSIYAKA,1,PM10
2000-01-15,3,179,GUZELYALI,2,SO2
2000-01-15,1,235,ALSANCAK,2,SO2
2000-01-15,3,73,GUZELYALI,1,PM10
2000-01-15,2,29,BORNOVA,1,PM10
2000-01-16,2,66,BORNOVA,2,SO2
2000-01-16,4,121,KARSIYAKA,2,SO2
2000-01-16,1,109,ALSANCAK,1,PM10
2000-01-16,3,214,GUZELYALI,2,SO2
2000-01-16,1,237,ALSANCAK,2,SO2
2000-01-16,3,149,GUZELYALI,1,PM10
2000-01-16,2,44,BORNOVA,1,PM10
2000-01-17,2,127,BORNOVA,2,SO2
2000-01-17,4,157,KARSIYAKA,2,SO2
2000-01-17,1,150,ALSANCAK,1,PM10
2000-01-17,4,91,KARSIYAKA,1,PM10
2000-01-17,3,294,GUZELYALI,2,SO2
2000-01-17,1,323,ALSANCAK,2,SO2
2000-01-17,3,203,GUZELYALI,1,PM10
2000-01-17,2,73,BORNOVA,1,PM10
2000-01-18,4,89,KARSIYAKA,2,SO2
2000-01-18,1,101,ALSANCAK,1,PM10
2000-01-18,1,122,ALSANCAK,2,SO2
2000-01-18,3,124,GUZELYALI,1,PM10
2000-01-18,2,35,BORNOVA,1,PM10
2000-01-19,2,8,BORNOVA,2,SO2
2000-01-19,4,57,KARSIYAKA,2,SO2
